2026-03-07 23:13:35.358920 0 {'chunk_seconds': 13, 'num_freqs': 14, 'num_estimators': 512, 'max_depth': 8, 'max_features': 0.412672235317432, 'overlap': 0.5143572055996756, 'max_lag': 12} 0.664747866817266
2026-03-07 23:54:16.822423 1 {'chunk_seconds': 2, 'num_freqs': 1, 'num_estimators': 32, 'max_depth': 64, 'max_features': 0.6861236793454983, 'overlap': 0.41816753962289493, 'max_lag': 17} 0.6454872154927602
2026-03-08 00:53:46.647352 2 {'chunk_seconds': 3, 'num_freqs': 12, 'num_estimators': 128, 'max_depth': 4, 'max_features': 0.29260361646388083, 'overlap': 0.7663744579157115, 'max_lag': 30} 0.46569516854679655
2026-03-08 03:40:02.144100 3 {'chunk_seconds': 4, 'num_freqs': 5, 'num_estimators': 64, 'max_depth': 128, 'max_features': 0.5279927697923574, 'overlap': 0.7933644943816871, 'max_lag': 14} 0.6762145048032993
2026-03-08 05:31:48.250524 4 {'chunk_seconds': 20, 'num_freqs': 20, 'num_estimators': 16, 'max_depth': 64, 'max_features': 0.6148951898496477, 'overlap': 0.521443547626145, 'max_lag': 12} 0.6915554409122854
2026-03-08 05:43:23.759763 5 {'chunk_seconds': 19, 'num_freqs': 15, 'num_estimators': 128, 'max_depth': 128, 'max_features': 0.7135037111971279, 'overlap': 0.5709064650271687, 'max_lag': 11} 0.7049696248144808
2026-03-08 06:15:42.240396 6 {'chunk_seconds': 3, 'num_freqs': 15, 'num_estimators': 8, 'max_depth': 16, 'max_features': 0.5944076731297527, 'overlap': 0.5988751209638778, 'max_lag': 12} 0.6503279051078024
2026-03-08 06:47:43.407763 7 {'chunk_seconds': 1, 'num_freqs': 18, 'num_estimators': 512, 'max_depth': 4, 'max_features': 0.8946251535328094, 'overlap': 0.7304055720369512, 'max_lag': 15} 0.4547061429515475
2026-03-09 05:02:59.455448 8 {'chunk_seconds': 3, 'num_freqs': 21, 'num_estimators': 32, 'max_depth': 16, 'max_features': 0.5195332063887905, 'overlap': 0.3641929362663395, 'max_lag': 19} 0.679351689595996
2026-03-09 05:45:14.860038 9 {'chunk_seconds': 23, 'num_freqs': 21, 'num_estimators': 8, 'max_depth': 256, 'max_features': 0.9507007440959874, 'overlap': 0.48956602066447996, 'max_lag': 25} 0.6809692079877764
2026-03-09 05:57:17.513072 10 {'chunk_seconds': 15, 'num_freqs': 8, 'num_estimators': 128, 'max_depth': 128, 'max_features': 0.7882762054369998, 'overlap': 0.2659758660325947, 'max_lag': 3} 0.6995550714063233
2026-03-09 06:14:27.774695 11 {'chunk_seconds': 15, 'num_freqs': 9, 'num_estimators': 128, 'max_depth': 128, 'max_features': 0.7854520762709687, 'overlap': 0.27716054546228697, 'max_lag': 4} 0.7013032554571377
2026-03-09 06:55:16.403261 13 {'chunk_seconds': 10, 'num_freqs': 10, 'num_estimators': 128, 'max_depth': 128, 'max_features': 0.8149752940347328, 'overlap': 0.26867782173226495, 'max_lag': 7} 0.7047829360859732
2026-03-09 07:58:33.608797 15 {'chunk_seconds': 9, 'num_freqs': 25, 'num_estimators': 128, 'max_depth': 128, 'max_features': 0.7001144971711052, 'overlap': 0.41257452030695857, 'max_lag': 8} 0.7043991605931943
2026-03-09 08:53:05.384806 16 {'chunk_seconds': 19, 'num_freqs': 11, 'num_estimators': 64, 'max_depth': 32, 'max_features': 0.22814829658855518, 'overlap': 0.6060619863602007, 'max_lag': 7} 0.7141789554984946
2026-03-09 09:05:01.765909 17 {'chunk_seconds': 20, 'num_freqs': 5, 'num_estimators': 64, 'max_depth': 32, 'max_features': 0.21259709190013729, 'overlap': 0.5768215306584915, 'max_lag': 21} 0.7190333492555954
