2026-04-11 15:38:52.936909 51 {'chunk_seconds': 10, 'num_freqs': 12, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.4000235979844508, 'overlap': 0.5818991711347129, 'max_lag': 18} 0.7322215879525353
2026-04-11 16:48:09.459336 57 {'chunk_seconds': 12, 'num_freqs': 12, 'num_estimators': 256, 'max_depth': 16, 'max_features': 0.3716846873035583, 'overlap': 0.6004961987609869, 'max_lag': 17} 0.7449320428858021
2026-04-11 17:33:11.802997 58 {'chunk_seconds': 14, 'num_freqs': 12, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.3543812089962789, 'overlap': 0.6605251795658671, 'max_lag': 17} 0.7445103790885961
2026-04-11 18:07:20.852871 60 {'chunk_seconds': 14, 'num_freqs': 15, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.3756301749084597, 'overlap': 0.7180450105064051, 'max_lag': 20} 0.7266762056004853
2026-04-11 18:35:20.589376 61 {'chunk_seconds': 12, 'num_freqs': 12, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.3281571738307919, 'overlap': 0.595287136248639, 'max_lag': 19} 0.7416679986506063
2026-04-11 19:07:42.599826 63 {'chunk_seconds': 15, 'num_freqs': 14, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.3549393735879552, 'overlap': 0.6942376176328311, 'max_lag': 17} 0.7397141212118569
2026-04-11 19:30:21.366463 64 {'chunk_seconds': 15, 'num_freqs': 12, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.3038632220469349, 'overlap': 0.6978442336853751, 'max_lag': 18} 0.7465686541967698
2026-04-11 20:04:25.717004 66 {'chunk_seconds': 17, 'num_freqs': 12, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.35358138665186556, 'overlap': 0.6327841652805631, 'max_lag': 19} 0.7446067250350564
2026-04-11 20:22:47.022975 67 {'chunk_seconds': 16, 'num_freqs': 12, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.3428170963187098, 'overlap': 0.7627111695212736, 'max_lag': 17} 0.7411220669988647
2026-04-11 21:11:39.922377 71 {'chunk_seconds': 16, 'num_freqs': 12, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.360216685268833, 'overlap': 0.632564636696195, 'max_lag': 17} 0.7386713813602023
2026-04-11 21:30:13.225590 72 {'chunk_seconds': 16, 'num_freqs': 13, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.350841571325934, 'overlap': 0.6865175133880802, 'max_lag': 19} 0.7425900113007666
2026-04-11 21:52:03.398559 73 {'chunk_seconds': 18, 'num_freqs': 11, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.38247110838175274, 'overlap': 0.7529436386726163, 'max_lag': 19} 0.7423128815508209
2026-04-11 22:16:38.499250 74 {'chunk_seconds': 18, 'num_freqs': 13, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.3831514848397495, 'overlap': 0.7331924038994946, 'max_lag': 19} 0.74121427811019
2026-04-11 22:49:41.755495 75 {'chunk_seconds': 19, 'num_freqs': 11, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.41972042866236875, 'overlap': 0.6325941257607433, 'max_lag': 19} 0.7394139499430419
2026-04-11 23:07:52.454520 76 {'chunk_seconds': 20, 'num_freqs': 11, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.3191743208322332, 'overlap': 0.7935213675024634, 'max_lag': 20} 0.7404234598284438
2026-04-12 00:18:25.952107 82 {'chunk_seconds': 19, 'num_freqs': 13, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.3407895146884617, 'overlap': 0.7137600421880275, 'max_lag': 19} 0.7472355642913218
2026-04-12 00:46:32.244030 83 {'chunk_seconds': 19, 'num_freqs': 11, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.31260630113269045, 'overlap': 0.7160862834884575, 'max_lag': 20} 0.7490469558874988
2026-04-12 01:13:04.672238 84 {'chunk_seconds': 19, 'num_freqs': 10, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.3061725807352892, 'overlap': 0.7101623068244193, 'max_lag': 20} 0.7465158236398771
2026-04-12 01:38:31.389321 85 {'chunk_seconds': 20, 'num_freqs': 10, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.3002708057935144, 'overlap': 0.7040554849553531, 'max_lag': 20} 0.7443670924915344
2026-04-12 02:02:37.707012 86 {'chunk_seconds': 19, 'num_freqs': 10, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.3023358220167082, 'overlap': 0.6712215124630719, 'max_lag': 20} 0.747413836294561
2026-04-12 02:44:52.132759 89 {'chunk_seconds': 20, 'num_freqs': 10, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.33997306583718684, 'overlap': 0.7059619920106546, 'max_lag': 20} 0.7420465782034643
2026-04-12 03:10:29.313183 90 {'chunk_seconds': 19, 'num_freqs': 8, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.3213999088796009, 'overlap': 0.6698349799451366, 'max_lag': 20} 0.7464101276388598
2026-04-12 03:33:22.000428 91 {'chunk_seconds': 19, 'num_freqs': 7, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.3168735104874285, 'overlap': 0.670662906246237, 'max_lag': 20} 0.7451381717557573
2026-04-12 04:08:33.558526 93 {'chunk_seconds': 19, 'num_freqs': 6, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.3423741230311674, 'overlap': 0.6708496563899089, 'max_lag': 20} 0.7466060397132437
2026-04-12 05:15:27.739769 98 {'chunk_seconds': 18, 'num_freqs': 9, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.34228831854751984, 'overlap': 0.7235977831014166, 'max_lag': 19} 0.7425747230234258
