2026-02-23 05:16:52.409444 49 {'chunk_seconds': 8, 'num_freqs': 10, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.5702742545098497, 'overlap': 0.39388181457032523, 'max_lag': 8} 0.70686869073018
2026-02-23 05:49:06.519530 50 {'chunk_seconds': 9, 'num_freqs': 7, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.5327141084352559, 'overlap': 0.4540119685010738, 'max_lag': 9} 0.7113328496890824
2026-02-23 06:17:40.375840 51 {'chunk_seconds': 9, 'num_freqs': 7, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.505246514508618, 'overlap': 0.4523539105132406, 'max_lag': 9} 0.7121683173948232
2026-02-23 06:45:00.220878 52 {'chunk_seconds': 9, 'num_freqs': 6, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.5154266908435982, 'overlap': 0.44967977557727545, 'max_lag': 9} 0.7108161300344115
2026-02-23 07:12:12.917749 53 {'chunk_seconds': 9, 'num_freqs': 6, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.5036907250647711, 'overlap': 0.41551564345450903, 'max_lag': 10} 0.7130385003875993
2026-02-23 07:38:35.252548 54 {'chunk_seconds': 8, 'num_freqs': 6, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.5120785963942289, 'overlap': 0.35601437366957595, 'max_lag': 10} 0.7076515223924068
2026-02-23 08:04:59.412112 55 {'chunk_seconds': 9, 'num_freqs': 7, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.5401215110711907, 'overlap': 0.48808720871140704, 'max_lag': 9} 0.709734709263062
2026-02-23 08:36:13.233949 56 {'chunk_seconds': 8, 'num_freqs': 6, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.503197463632837, 'overlap': 0.4150386229119951, 'max_lag': 10} 0.7056130863825371
2026-02-23 10:07:21.097540 61 {'chunk_seconds': 9, 'num_freqs': 7, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.5453335401318287, 'overlap': 0.4812370747344379, 'max_lag': 9} 0.7143297326598657
2026-02-23 10:37:48.540127 62 {'chunk_seconds': 9, 'num_freqs': 6, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.5575120219870275, 'overlap': 0.48766994155333193, 'max_lag': 9} 0.7110344646864099
2026-02-23 11:34:20.214265 65 {'chunk_seconds': 9, 'num_freqs': 7, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.5400912936501617, 'overlap': 0.48287414061546163, 'max_lag': 10} 0.7104845101702791
2026-02-23 12:47:51.067097 67 {'chunk_seconds': 9, 'num_freqs': 6, 'num_estimators': 128, 'max_depth': 64, 'max_features': 0.5264233125407722, 'overlap': 0.43561172195171644, 'max_lag': 10} 0.7071894852581647
2026-02-23 14:33:47.094464 71 {'chunk_seconds': 9, 'num_freqs': 6, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.5150025568381568, 'overlap': 0.4468369377976504, 'max_lag': 9} 0.7144023486094554
2026-02-23 15:00:50.292922 72 {'chunk_seconds': 9, 'num_freqs': 6, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.54601390532415, 'overlap': 0.5131904660351699, 'max_lag': 9} 0.7068110498841222
2026-02-23 15:32:06.513821 73 {'chunk_seconds': 9, 'num_freqs': 7, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.5195181803765433, 'overlap': 0.4903940929161276, 'max_lag': 10} 0.7128259215282015
2026-02-23 16:02:30.202518 74 {'chunk_seconds': 10, 'num_freqs': 7, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.5178213708382914, 'overlap': 0.4301073783364618, 'max_lag': 10} 0.7105975330226161
2026-02-23 16:32:20.535423 76 {'chunk_seconds': 8, 'num_freqs': 9, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.5298139033539548, 'overlap': 0.43719925914742086, 'max_lag': 10} 0.711123965149915
2026-02-23 17:06:17.502166 77 {'chunk_seconds': 10, 'num_freqs': 3, 'num_estimators': 128, 'max_depth': 64, 'max_features': 0.5173049239616527, 'overlap': 0.37134109599784937, 'max_lag': 9} 0.7107606482855298
2026-02-23 17:34:27.296946 80 {'chunk_seconds': 8, 'num_freqs': 8, 'num_estimators': 128, 'max_depth': 128, 'max_features': 0.5305752376770452, 'overlap': 0.49566915556600977, 'max_lag': 8} 0.7064579538697984
2026-02-23 18:08:25.651832 81 {'chunk_seconds': 9, 'num_freqs': 9, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.5290171870144078, 'overlap': 0.44995332984988934, 'max_lag': 10} 0.7144907703190488
2026-02-23 18:39:17.908377 82 {'chunk_seconds': 9, 'num_freqs': 7, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.513209315074278, 'overlap': 0.40513911984916917, 'max_lag': 10} 0.7093940209877513
2026-02-23 19:05:50.720523 83 {'chunk_seconds': 9, 'num_freqs': 11, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.5452673405503725, 'overlap': 0.44150679689976435, 'max_lag': 10} 0.7152296158038932
2026-02-23 20:48:37.550079 90 {'chunk_seconds': 9, 'num_freqs': 8, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.5124249026414457, 'overlap': 0.4635075218878398, 'max_lag': 9} 0.7138536602322747
2026-02-23 21:54:34.701482 93 {'chunk_seconds': 9, 'num_freqs': 8, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.5623310902525485, 'overlap': 0.445911164270378, 'max_lag': 10} 0.711780874873626
2026-02-23 22:38:36.898160 95 {'chunk_seconds': 9, 'num_freqs': 9, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.5620947927123582, 'overlap': 0.46008381042528257, 'max_lag': 10} 0.7119359346253916
2026-02-23 23:10:48.486788 96 {'chunk_seconds': 9, 'num_freqs': 9, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.5231313024341031, 'overlap': 0.46041087549053267, 'max_lag': 10} 0.713618084000896
2026-02-23 23:54:52.585137 98 {'chunk_seconds': 9, 'num_freqs': 13, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.5121695834215869, 'overlap': 0.411589827087669, 'max_lag': 10} 0.7149958037743117
2026-02-24 00:26:28.039799 99 {'chunk_seconds': 8, 'num_freqs': 14, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.5357796680473644, 'overlap': 0.409366269339823, 'max_lag': 10} 0.7084462308795316
2026-02-24 23:39:03.257243 0 {'chunk_seconds': 11, 'num_freqs': 16, 'num_estimators': 16, 'max_depth': 8, 'max_features': 0.39065784094244527, 'overlap': 0.3949590379516132, 'max_lag': 8} 0.6662516723291451
