2026-04-16 22:57:56.504314 0 {'chunk_seconds': 12, 'num_freqs': 18, 'num_estimators': 16, 'max_depth': 128, 'max_features': 0.5920754150314325, 'overlap': 0.5051218274545237, 'max_lag': 15} 0.7023395082480066
2026-04-16 23:12:50.113928 1 {'chunk_seconds': 14, 'num_freqs': 7, 'num_estimators': 16, 'max_depth': 256, 'max_features': 0.41628965022586356, 'overlap': 0.26696945761291596, 'max_lag': 28} 0.7095013940616589
2026-04-16 23:24:16.066742 2 {'chunk_seconds': 9, 'num_freqs': 14, 'num_estimators': 64, 'max_depth': 256, 'max_features': 0.9453702368213055, 'overlap': 0.47914328889725843, 'max_lag': 18} 0.698871877836814
2026-04-17 00:07:01.018127 3 {'chunk_seconds': 11, 'num_freqs': 14, 'num_estimators': 16, 'max_depth': 256, 'max_features': 0.9611064837125565, 'overlap': 0.5299126950888825, 'max_lag': 3} 0.6714955438718316
2026-04-17 00:20:50.931657 4 {'chunk_seconds': 1, 'num_freqs': 1, 'num_estimators': 64, 'max_depth': 32, 'max_features': 0.45353303325657934, 'overlap': 0.7936183481110977, 'max_lag': 20} 0.6278343454705636
2026-04-17 08:04:16.284393 5 {'chunk_seconds': 12, 'num_freqs': 5, 'num_estimators': 128, 'max_depth': 4, 'max_features': 0.8622896190919731, 'overlap': 0.5929337448932438, 'max_lag': 17} 0.5988271918673831
2026-04-17 08:26:11.980167 6 {'chunk_seconds': 17, 'num_freqs': 10, 'num_estimators': 16, 'max_depth': 16, 'max_features': 0.6887043719657513, 'overlap': 0.38212899478444506, 'max_lag': 10} 0.7166460743261569
2026-04-17 08:35:48.381429 7 {'chunk_seconds': 5, 'num_freqs': 3, 'num_estimators': 64, 'max_depth': 64, 'max_features': 0.44742888339671677, 'overlap': 0.49910392079145827, 'max_lag': 22} 0.6910266167932115
2026-04-17 09:15:21.711296 8 {'chunk_seconds': 17, 'num_freqs': 1, 'num_estimators': 64, 'max_depth': 256, 'max_features': 0.31340758728487905, 'overlap': 0.532760384715236, 'max_lag': 10} 0.7114632449454183
2026-04-17 09:26:54.280850 9 {'chunk_seconds': 16, 'num_freqs': 13, 'num_estimators': 8, 'max_depth': 16, 'max_features': 0.6431547911919357, 'overlap': 0.42710222596430525, 'max_lag': 20} 0.6953865492500199
2026-04-17 09:37:49.139896 10 {'chunk_seconds': 19, 'num_freqs': 9, 'num_estimators': 256, 'max_depth': 16, 'max_features': 0.8032754693782114, 'overlap': 0.3065072116990784, 'max_lag': 7} 0.7268628382437436
2026-04-17 10:03:02.365564 11 {'chunk_seconds': 20, 'num_freqs': 9, 'num_estimators': 256, 'max_depth': 16, 'max_features': 0.77623740256273, 'overlap': 0.2927685254972066, 'max_lag': 7} 0.726520838189269
2026-04-17 10:31:48.269496 13 {'chunk_seconds': 20, 'num_freqs': 10, 'num_estimators': 256, 'max_depth': 16, 'max_features': 0.7602553637208493, 'overlap': 0.34623585481045044, 'max_lag': 10} 0.7213250362685025
2026-04-17 12:27:00.566494 22 {'chunk_seconds': 18, 'num_freqs': 6, 'num_estimators': 256, 'max_depth': 16, 'max_features': 0.7491067484298084, 'overlap': 0.3567552985694239, 'max_lag': 9} 0.7321134844722462
2026-04-17 12:52:32.042166 23 {'chunk_seconds': 18, 'num_freqs': 5, 'num_estimators': 256, 'max_depth': 16, 'max_features': 0.8632814518787897, 'overlap': 0.28743579970283234, 'max_lag': 13} 0.729139217026983
2026-04-17 13:20:12.113934 24 {'chunk_seconds': 18, 'num_freqs': 5, 'num_estimators': 256, 'max_depth': 16, 'max_features': 0.8985777872850744, 'overlap': 0.3717626442879066, 'max_lag': 13} 0.7264979136714536
2026-04-17 14:08:01.085189 26 {'chunk_seconds': 17, 'num_freqs': 6, 'num_estimators': 256, 'max_depth': 16, 'max_features': 0.8375953484220544, 'overlap': 0.2531524217320309, 'max_lag': 15} 0.727882934866511
2026-04-17 14:37:23.327151 27 {'chunk_seconds': 13, 'num_freqs': 6, 'num_estimators': 256, 'max_depth': 16, 'max_features': 0.8863852116544947, 'overlap': 0.25043260947180196, 'max_lag': 22} 0.7268635985697081
2026-04-17 15:43:18.142064 31 {'chunk_seconds': 13, 'num_freqs': 6, 'num_estimators': 256, 'max_depth': 16, 'max_features': 0.9022663931367981, 'overlap': 0.25798982907506046, 'max_lag': 23} 0.7251402707177661
2026-04-17 20:01:23.071149 49 {'chunk_seconds': 15, 'num_freqs': 4, 'num_estimators': 256, 'max_depth': 64, 'max_features': 0.3778250551757141, 'overlap': 0.2875732121202672, 'max_lag': 11} 0.7181872357001415
2026-04-18 00:31:04.492155 70 {'chunk_seconds': 14, 'num_freqs': 8, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.5738907550215394, 'overlap': 0.3974105421663238, 'max_lag': 11} 0.7279819326144807
2026-04-18 00:50:23.744979 71 {'chunk_seconds': 14, 'num_freqs': 8, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.5297958272612417, 'overlap': 0.39125175446218896, 'max_lag': 10} 0.7332697758773248
2026-04-18 01:08:41.957529 72 {'chunk_seconds': 14, 'num_freqs': 8, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.5391754264316698, 'overlap': 0.3986463963260775, 'max_lag': 9} 0.7297787198747614
2026-04-18 01:26:46.231127 73 {'chunk_seconds': 14, 'num_freqs': 8, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.5285993798747081, 'overlap': 0.40473006496320113, 'max_lag': 10} 0.7330480845586346
2026-04-18 01:45:05.414870 74 {'chunk_seconds': 14, 'num_freqs': 6, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.5145921912863131, 'overlap': 0.43629687670676226, 'max_lag': 10} 0.7307283974537045
2026-04-18 02:02:57.386531 75 {'chunk_seconds': 14, 'num_freqs': 8, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.5161844692324179, 'overlap': 0.4388604734332215, 'max_lag': 10} 0.7361598689739018
2026-04-18 02:21:41.532012 76 {'chunk_seconds': 14, 'num_freqs': 8, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.5114807570695746, 'overlap': 0.4413473138968484, 'max_lag': 10} 0.7327540781625453
2026-04-18 02:40:28.903776 77 {'chunk_seconds': 11, 'num_freqs': 7, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.4923053185266978, 'overlap': 0.44448778792754534, 'max_lag': 10} 0.7345978467417115
2026-04-18 03:02:04.170318 78 {'chunk_seconds': 11, 'num_freqs': 7, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.5018907189136499, 'overlap': 0.44402373989806115, 'max_lag': 10} 0.7315250108320348
2026-04-18 03:24:04.938922 79 {'chunk_seconds': 11, 'num_freqs': 7, 'num_estimators': 128, 'max_depth': 128, 'max_features': 0.5023126163621495, 'overlap': 0.43854218631016245, 'max_lag': 10} 0.7161356330748668
2026-04-18 03:47:35.462754 80 {'chunk_seconds': 12, 'num_freqs': 8, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.47675237204365134, 'overlap': 0.47316177228451484, 'max_lag': 10} 0.7389770534282836
2026-04-18 04:08:26.622897 81 {'chunk_seconds': 12, 'num_freqs': 8, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.4706694654099068, 'overlap': 0.4813359265670703, 'max_lag': 10} 0.7390540612576013
2026-04-18 04:29:35.083165 82 {'chunk_seconds': 12, 'num_freqs': 9, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.46439103913410024, 'overlap': 0.47639882580478815, 'max_lag': 8} 0.7373590526384791
2026-04-18 04:49:54.862188 83 {'chunk_seconds': 12, 'num_freqs': 9, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.4582783477814615, 'overlap': 0.4715426137169647, 'max_lag': 8} 0.7361820978459471
2026-04-18 05:10:11.056769 84 {'chunk_seconds': 12, 'num_freqs': 10, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.45570328219098777, 'overlap': 0.46840220297739077, 'max_lag': 8} 0.7375605748047386
2026-04-18 05:30:17.920158 85 {'chunk_seconds': 12, 'num_freqs': 10, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.44147804067074414, 'overlap': 0.4698579052660546, 'max_lag': 8} 0.7381053834614406
2026-04-18 06:17:53.601204 88 {'chunk_seconds': 12, 'num_freqs': 12, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.4705113366197154, 'overlap': 0.47105790884691057, 'max_lag': 6} 0.7373174389367908
2026-04-18 06:43:05.036694 90 {'chunk_seconds': 9, 'num_freqs': 12, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.43375158968089356, 'overlap': 0.49670228002402084, 'max_lag': 7} 0.7194199631063113
2026-04-18 07:09:28.185283 91 {'chunk_seconds': 13, 'num_freqs': 9, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.3888346152522284, 'overlap': 0.48888892538587125, 'max_lag': 8} 0.7390661370740879
2026-04-18 07:27:29.624973 92 {'chunk_seconds': 13, 'num_freqs': 9, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.38215885340615213, 'overlap': 0.4929455095022854, 'max_lag': 6} 0.7233903450582082
2026-04-18 08:20:13.948404 96 {'chunk_seconds': 13, 'num_freqs': 10, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.4020523556920314, 'overlap': 0.4624600129201632, 'max_lag': 6} 0.7405425138251112
2026-04-18 08:37:15.742529 97 {'chunk_seconds': 13, 'num_freqs': 11, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.41344472701343593, 'overlap': 0.4642542398273161, 'max_lag': 6} 0.7395512499179875
