,resistance,voltage,current,time,pre_rect,post_rect,labels
0,6,250,DC,0.0,-8.0126953125,0.01708984375,NP
1,6,250,DC,0.01,-8.006591796875,0.01953125,NP
2,6,250,DC,0.02,-8.023681640625,0.020751953125,NP
3,6,250,DC,0.03,-8.018798828125,0.020751953125,NP
4,6,250,DC,0.04,-8.03466796875,0.01953125,NP
5,6,250,DC,0.05,-8.033447265625,0.01953125,NP
6,6,250,DC,0.06,-8.048095703125,0.01953125,NP
7,6,250,DC,0.07,-8.0322265625,0.020751953125,NP
8,6,250,DC,0.08,-8.0419921875,0.020751953125,NP
9,6,250,DC,0.09,-8.02978515625,0.02197265625,NP
10,6,250,DC,0.1,-8.0224609375,0.0244140625,NP
11,6,250,DC,0.11,-8.013916015625,0.025634765625,NP
12,6,250,DC,0.12,-8.021240234375,0.02685546875,NP
13,6,250,DC,0.13,-8.03466796875,0.029296875,NP
14,6,250,DC,0.14,-8.033447265625,0.028076171875,NP
15,6,250,DC,0.15,-8.03466796875,0.02685546875,NP
16,6,250,DC,0.16,-8.043212890625,0.028076171875,NP
17,6,250,DC,0.17,-8.040771484375,0.025634765625,NP
18,6,250,DC,0.18,-8.026123046875,0.02685546875,NP
19,6,250,DC,0.19,-8.028564453125,0.02685546875,NP
20,6,250,DC,0.2,-8.00537109375,0.02685546875,NP
21,6,250,DC,0.21,-8.0224609375,0.02685546875,NP
22,6,250,DC,0.22,-8.006591796875,0.028076171875,NP
23,6,250,DC,0.23,-8.037109375,0.02685546875,NP
24,6,250,DC,0.24,-8.035888671875,0.02685546875,NP
25,6,250,DC,0.25,-8.043212890625,0.025634765625,NP
26,6,250,DC,0.26,-8.05419921875,0.0244140625,NP
27,6,250,DC,0.27,-8.040771484375,0.0244140625,NP
28,6,250,DC,0.28,-8.031005859375,0.02685546875,NP
29,6,250,DC,0.29,-8.026123046875,0.028076171875,NP
30,6,250,DC,0.3,-8.0224609375,0.030517578125,NP
31,6,250,DC,0.31,-8.031005859375,0.032958984375,NP
32,6,250,DC,0.32,-8.026123046875,0.0341796875,NP
33,6,250,DC,0.33,-8.031005859375,0.0341796875,NP
34,6,250,DC,0.34,-8.037109375,0.0341796875,NP
35,6,250,DC,0.35000000000000003,-8.0322265625,0.03173828125,NP
36,6,250,DC,0.36,-8.052978515625,0.029296875,NP
37,6,250,DC,0.37,-8.04931640625,0.02685546875,NP
38,6,250,DC,0.38,-8.031005859375,0.028076171875,NP
39,6,250,DC,0.39,-8.037109375,0.02685546875,NP
40,6,250,DC,0.4,-8.0322265625,0.028076171875,NP
41,6,250,DC,0.41000000000000003,-8.017578125,0.03173828125,NP
42,6,250,DC,0.42,-8.033447265625,0.03173828125,NP
43,6,250,DC,0.43,-8.04443359375,0.030517578125,NP
44,6,250,DC,0.44,-8.0419921875,0.030517578125,NP
45,6,250,DC,0.45,-8.046875,0.02685546875,NP
46,6,250,DC,0.46,-8.03466796875,0.02685546875,NP
47,6,250,DC,0.47000000000000003,-8.045654296875,0.023193359375,NP
48,6,250,DC,0.48,-8.021240234375,0.02197265625,NP
49,6,250,DC,0.49,-8.011474609375,0.02197265625,NP
50,6,250,DC,0.5,-8.023681640625,0.02197265625,NP
51,6,250,DC,0.51,-8.017578125,0.0244140625,NP
52,6,250,DC,0.52,-8.038330078125,0.0244140625,NP
53,6,250,DC,0.53,-8.03955078125,0.029296875,NP
54,6,250,DC,0.54,-8.060302734375,0.029296875,NP
55,6,250,DC,0.55,-8.03955078125,0.030517578125,NP
56,6,250,DC,0.56,-8.0419921875,0.03173828125,NP
57,6,250,DC,0.5700000000000001,-8.033447265625,0.03173828125,NP
58,6,250,DC,0.58,-8.021240234375,0.03173828125,NP
59,6,250,DC,0.59,-8.026123046875,0.02685546875,NP
60,6,250,DC,0.6,-8.00537109375,0.02685546875,NP
61,6,250,DC,0.61,-8.017578125,0.0244140625,NP
62,6,250,DC,0.62,-8.0322265625,0.023193359375,NP
63,6,250,DC,0.63,-8.026123046875,0.0244140625,NP
64,6,250,DC,0.64,-8.046875,0.0244140625,NP
65,6,250,DC,0.65,-8.045654296875,0.02685546875,NP
66,6,250,DC,0.66,-8.04931640625,0.029296875,NP
67,6,250,DC,0.67,-8.023681640625,0.03173828125,NP
68,6,250,DC,0.68,-8.021240234375,0.03173828125,NP
69,6,250,DC,0.6900000000000001,-8.021240234375,0.032958984375,NP
70,6,250,DC,0.7000000000000001,-8.026123046875,0.032958984375,NP
71,6,250,DC,0.71,-8.033447265625,0.03173828125,NP
72,6,250,DC,0.72,-8.033447265625,0.030517578125,NP
73,6,250,DC,0.73,-8.035888671875,0.030517578125,NP
74,6,250,DC,0.74,-8.040771484375,0.03173828125,NP
75,6,250,DC,0.75,-8.055419921875,0.03173828125,NP
76,6,250,DC,0.76,-8.045654296875,0.0341796875,NP
77,6,250,DC,0.77,-8.0419921875,0.03662109375,NP
78,6,250,DC,0.78,-8.038330078125,0.037841796875,NP
79,6,250,DC,0.79,-8.037109375,0.04150390625,NP
80,6,250,DC,0.8,-8.028564453125,0.040283203125,NP
81,6,250,DC,0.81,-8.02734375,0.040283203125,NP
82,6,250,DC,0.8200000000000001,-8.043212890625,0.037841796875,NP
83,6,250,DC,0.8300000000000001,-8.043212890625,0.037841796875,NP
84,6,250,DC,0.84,-8.04443359375,0.03662109375,NP
85,6,250,DC,0.85,-8.038330078125,0.03662109375,NP
86,6,250,DC,0.86,-8.02978515625,0.035400390625,NP
87,6,250,DC,0.87,-8.02734375,0.03662109375,NP
88,6,250,DC,0.88,-8.011474609375,0.0390625,NP
89,6,250,DC,0.89,-8.0322265625,0.0390625,NP
90,6,250,DC,0.9,-8.037109375,0.0390625,NP
91,6,250,DC,0.91,-8.023681640625,0.040283203125,NP
92,6,250,DC,0.92,-8.046875,0.0390625,NP
93,6,250,DC,0.93,-8.050537109375,0.037841796875,NP
94,6,250,DC,0.9400000000000001,-8.05419921875,0.0390625,NP
95,6,250,DC,0.9500000000000001,-8.0419921875,0.0390625,NP
96,6,250,DC,0.96,-8.02490234375,0.0390625,NP
97,6,250,DC,0.97,-8.021240234375,0.03662109375,NP
98,6,250,DC,0.98,-8.02001953125,0.037841796875,NP
99,6,250,DC,0.99,-8.01513671875,0.03662109375,NP
100,6,250,DC,1.0,-8.03466796875,0.035400390625,NP
101,6,250,DC,1.01,-8.048095703125,0.035400390625,NP
102,6,250,DC,1.02,-8.0419921875,0.0341796875,NP
103,6,250,DC,1.03,-8.040771484375,0.0341796875,NP
104,6,250,DC,1.04,-8.048095703125,0.0341796875,NP
105,6,250,DC,1.05,-8.0419921875,0.0341796875,NP
106,6,250,DC,1.06,-8.033447265625,0.0341796875,NP
107,6,250,DC,1.07,-8.02490234375,0.0341796875,NP
108,6,250,DC,1.08,-8.0322265625,0.032958984375,NP
109,6,250,DC,1.09,-8.02490234375,0.032958984375,NP
110,6,250,DC,1.1,-8.026123046875,0.032958984375,NP
111,6,250,DC,1.11,-8.0419921875,0.0341796875,NP
112,6,250,DC,1.12,-8.03466796875,0.0341796875,NP
113,6,250,DC,1.1300000000000001,-8.0517578125,0.032958984375,NP
114,6,250,DC,1.1400000000000001,-8.057861328125,0.032958984375,NP
115,6,250,DC,1.1500000000000001,-8.03466796875,0.0341796875,NP
116,6,250,DC,1.16,-8.0322265625,0.0341796875,NP
117,6,250,DC,1.17,-8.017578125,0.03173828125,NP
118,6,250,DC,1.18,-8.0322265625,0.030517578125,NP
119,6,250,DC,1.19,-8.02734375,0.029296875,NP
120,6,250,DC,1.2,-8.0322265625,0.030517578125,NP
121,6,250,DC,1.21,-8.04443359375,0.030517578125,NP
122,6,250,DC,1.22,-8.048095703125,0.03173828125,NP
123,6,250,DC,1.23,-8.056640625,0.032958984375,NP
124,6,250,DC,1.24,-8.035888671875,0.035400390625,NP
125,6,250,DC,1.25,-8.03466796875,0.03662109375,NP
126,6,250,DC,1.26,-8.02490234375,0.0390625,NP
127,6,250,DC,1.27,-8.018798828125,0.0390625,NP
128,6,250,DC,1.28,-8.01025390625,0.0390625,NP
129,6,250,DC,1.29,-8.031005859375,0.037841796875,NP
130,6,250,DC,1.3,-8.043212890625,0.03662109375,NP
131,6,250,DC,1.31,-8.038330078125,0.03662109375,NP
132,6,250,DC,1.32,-8.0517578125,0.03662109375,NP
133,6,250,DC,1.33,-8.046875,0.037841796875,NP
134,6,250,DC,1.34,-8.02978515625,0.037841796875,NP
135,6,250,DC,1.35,-8.0322265625,0.0390625,NP
136,6,250,DC,1.36,-8.02734375,0.040283203125,NP
137,6,250,DC,1.37,-8.0224609375,0.040283203125,NP
138,6,250,DC,1.3800000000000001,-8.023681640625,0.040283203125,NP
139,6,250,DC,1.3900000000000001,-8.04443359375,0.03662109375,NP
140,6,250,DC,1.4000000000000001,-8.040771484375,0.03662109375,NP
141,6,250,DC,1.41,-8.04931640625,0.0341796875,NP
142,6,250,DC,1.42,-8.0517578125,0.035400390625,NP
143,6,250,DC,1.43,-8.055419921875,0.0341796875,NP
144,6,250,DC,1.44,-8.040771484375,0.035400390625,NP
145,6,250,DC,1.45,-8.02734375,0.0341796875,NP
146,6,250,DC,1.46,-8.0224609375,0.03662109375,NP
