2025-11-14 02:16:58.992761 14 {'augment_factor': 4, 'chunk_seconds': 2, 'num_freqs': 16, 'num_estimators': 32, 'max_depth': 32, 'window_seconds': 7, 'num_subwindows': 16, 'subwindow_freq': 5, 'use_window_slope': True, 'use_subwindow_slope': False} 0.4391588310061767
2025-11-14 02:22:17.663784 15 {'augment_factor': 4, 'chunk_seconds': 4, 'num_freqs': 13, 'num_estimators': 128, 'max_depth': 4, 'window_seconds': 6, 'num_subwindows': 17, 'subwindow_freq': 10, 'use_window_slope': True, 'use_subwindow_slope': False} 0.39356814436097726
2025-11-14 02:25:15.221516 16 {'augment_factor': 1, 'chunk_seconds': 1, 'num_freqs': 18, 'num_estimators': 256, 'max_depth': 16, 'window_seconds': 10, 'num_subwindows': 12, 'subwindow_freq': 1, 'use_window_slope': False, 'use_subwindow_slope': True} 0.45391542970074555
2025-11-14 02:46:27.528000 17 {'augment_factor': 1, 'chunk_seconds': 4, 'num_freqs': 19, 'num_estimators': 256, 'max_depth': 16, 'window_seconds': 10, 'num_subwindows': 13, 'subwindow_freq': 2, 'use_window_slope': False, 'use_subwindow_slope': True} 0.42296418077247916
2025-11-14 02:52:15.692683 18 {'augment_factor': 1, 'chunk_seconds': 2, 'num_freqs': 14, 'num_estimators': 256, 'max_depth': 16, 'window_seconds': 9, 'num_subwindows': 12, 'subwindow_freq': 1, 'use_window_slope': False, 'use_subwindow_slope': True} 0.4516253254422084
2025-11-14 03:02:52.457057 19 {'augment_factor': 1, 'chunk_seconds': 2, 'num_freqs': 10, 'num_estimators': 256, 'max_depth': 16, 'window_seconds': 9, 'num_subwindows': 11, 'subwindow_freq': 1, 'use_window_slope': False, 'use_subwindow_slope': True} 0.4498255147918511
2025-11-14 03:12:50.192045 20 {'augment_factor': 1, 'chunk_seconds': 3, 'num_freqs': 14, 'num_estimators': 256, 'max_depth': 16, 'window_seconds': 10, 'num_subwindows': 11, 'subwindow_freq': 4, 'use_window_slope': False, 'use_subwindow_slope': True} 0.4292249182156647
2025-11-14 03:19:33.870543 21 {'augment_factor': 1, 'chunk_seconds': 2, 'num_freqs': 10, 'num_estimators': 256, 'max_depth': 16, 'window_seconds': 9, 'num_subwindows': 12, 'subwindow_freq': 1, 'use_window_slope': False, 'use_subwindow_slope': True} 0.45215504310202154
2025-11-14 03:30:09.994868 22 {'augment_factor': 1, 'chunk_seconds': 2, 'num_freqs': 12, 'num_estimators': 256, 'max_depth': 16, 'window_seconds': 9, 'num_subwindows': 13, 'subwindow_freq': 1, 'use_window_slope': False, 'use_subwindow_slope': True} 0.45115741776420437
2025-11-14 03:41:35.731297 23 {'augment_factor': 1, 'chunk_seconds': 5, 'num_freqs': 9, 'num_estimators': 256, 'max_depth': 16, 'window_seconds': 9, 'num_subwindows': 10, 'subwindow_freq': 1, 'use_window_slope': False, 'use_subwindow_slope': True} 0.45676704723894956
