2025-11-14 00:30:29.287976 2 {'augment_factor': 1, 'chunk_seconds': 1.599361160576451, 'num_freqs': 12, 'num_estimators': 129, 'learning_rate': 0.08789779447629056, 'max_depth': 4, 'min_samples_split': 9, 'min_samples_leaf': 8, 'subsample': 0.6167652969873467, 'window_seconds': 3} 0.4106241304998925
2025-11-14 00:33:58.048177 3 {'augment_factor': 8, 'chunk_seconds': 0.7304482553125543, 'num_freqs': 6, 'num_estimators': 212, 'learning_rate': 0.05635374508620024, 'max_depth': 8, 'min_samples_split': 5, 'min_samples_leaf': 3, 'subsample': 0.8294772526298577, 'window_seconds': 2} 0.4018173312239362
2025-11-14 11:38:13.574094 0 {'augment_factor': 4, 'chunk_seconds': 0.5014650340525818, 'num_freqs': 7, 'num_estimators': 384, 'learning_rate': 0.054227609394363156, 'max_depth': 7, 'min_samples_split': 5, 'min_samples_leaf': 2, 'subsample': 0.7804765517397844, 'window_seconds': 2} 0.3917836740937963
2025-11-14 12:19:12.165729 1 {'augment_factor': 4, 'chunk_seconds': 0.7950748394698116, 'num_freqs': 7, 'num_estimators': 325, 'learning_rate': 0.033200256287475464, 'max_depth': 7, 'min_samples_split': 7, 'min_samples_leaf': 3, 'subsample': 0.7338978897619945, 'window_seconds': 5} 0.4173948591341814
2025-11-14 12:40:55.531904 2 {'augment_factor': 8, 'chunk_seconds': 1.727666492917586, 'num_freqs': 18, 'num_estimators': 80, 'learning_rate': 0.08859584577615412, 'max_depth': 8, 'min_samples_split': 20, 'min_samples_leaf': 1, 'subsample': 0.6471261257991561, 'window_seconds': 4} 0.3975003859920186
2025-11-14 12:45:20.713101 3 {'augment_factor': 4, 'chunk_seconds': 1.03411795383915, 'num_freqs': 19, 'num_estimators': 461, 'learning_rate': 0.04805010756541962, 'max_depth': 6, 'min_samples_split': 18, 'min_samples_leaf': 8, 'subsample': 0.8912564928294061, 'window_seconds': 3} 0.41389540263071584
2025-11-14 13:18:07.281288 4 {'augment_factor': 2, 'chunk_seconds': 1.7143259198942156, 'num_freqs': 3, 'num_estimators': 488, 'learning_rate': 0.10578503440980169, 'max_depth': 7, 'min_samples_split': 19, 'min_samples_leaf': 5, 'subsample': 0.6225725702338956, 'window_seconds': 4} 0.3723721092631649
2025-11-14 13:28:26.471858 5 {'augment_factor': 1, 'chunk_seconds': 0.8380777521846533, 'num_freqs': 6, 'num_estimators': 490, 'learning_rate': 0.06323557488919437, 'max_depth': 8, 'min_samples_split': 8, 'min_samples_leaf': 6, 'subsample': 0.7155779314195021, 'window_seconds': 4} 0.40200292388117354
2025-11-14 13:59:53.362242 6 {'augment_factor': 2, 'chunk_seconds': 1.7868054290066604, 'num_freqs': 19, 'num_estimators': 208, 'learning_rate': 0.03380364711354948, 'max_depth': 3, 'min_samples_split': 5, 'min_samples_leaf': 5, 'subsample': 0.8417493885870336, 'window_seconds': 5} 0.4181664161968574
2025-11-14 14:05:08.815013 7 {'augment_factor': 1, 'chunk_seconds': 0.9670131598206277, 'num_freqs': 8, 'num_estimators': 171, 'learning_rate': 0.12740314250680448, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 5, 'subsample': 0.6652249311482328, 'window_seconds': 3} 0.40955654097280325
2025-11-14 14:12:37.105997 8 {'augment_factor': 1, 'chunk_seconds': 0.29076804433713604, 'num_freqs': 19, 'num_estimators': 441, 'learning_rate': 0.25979286648865507, 'max_depth': 5, 'min_samples_split': 19, 'min_samples_leaf': 3, 'subsample': 0.8363640092126218, 'window_seconds': 4} 0.3929071804222761
2025-11-14 15:44:52.436388 9 {'augment_factor': 4, 'chunk_seconds': 0.5955247542769991, 'num_freqs': 18, 'num_estimators': 56, 'learning_rate': 0.03079481698454486, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 9, 'subsample': 0.6488706105636538, 'window_seconds': 3} 0.40814585412700577
2025-11-14 15:52:50.119910 10 {'augment_factor': 2, 'chunk_seconds': 1.3820493973380983, 'num_freqs': 13, 'num_estimators': 213, 'learning_rate': 0.013221203649009628, 'max_depth': 3, 'min_samples_split': 12, 'min_samples_leaf': 7, 'subsample': 0.9618526100204509, 'window_seconds': 5} 0.40505852822694116
2025-11-14 15:59:20.667364 11 {'augment_factor': 2, 'chunk_seconds': 1.9435590137241863, 'num_freqs': 13, 'num_estimators': 303, 'learning_rate': 0.02018223651771931, 'max_depth': 3, 'min_samples_split': 12, 'min_samples_leaf': 4, 'subsample': 0.7653383439021392, 'window_seconds': 5} 0.410407268664531
2025-11-14 16:04:32.385830 12 {'augment_factor': 8, 'chunk_seconds': 1.297127978161957, 'num_freqs': 12, 'num_estimators': 303, 'learning_rate': 0.028838541983678773, 'max_depth': 4, 'min_samples_split': 2, 'min_samples_leaf': 3, 'subsample': 0.8673220754589948, 'window_seconds': 5} 0.4211261463633229
2025-11-14 16:14:56.816300 13 {'augment_factor': 8, 'chunk_seconds': 1.3816040706798858, 'num_freqs': 15, 'num_estimators': 231, 'learning_rate': 0.010711007594184557, 'max_depth': 4, 'min_samples_split': 2, 'min_samples_leaf': 10, 'subsample': 0.8703014670682578, 'window_seconds': 5} 0.4136646743181132
2025-11-14 16:23:23.052733 14 {'augment_factor': 8, 'chunk_seconds': 1.342761467980029, 'num_freqs': 15, 'num_estimators': 145, 'learning_rate': 0.022411351748653028, 'max_depth': 4, 'min_samples_split': 4, 'min_samples_leaf': 4, 'subsample': 0.9485198113994434, 'window_seconds': 5} 0.41279349288626793
2025-11-14 16:29:50.011339 15 {'augment_factor': 8, 'chunk_seconds': 1.995126664420926, 'num_freqs': 10, 'num_estimators': 346, 'learning_rate': 0.017823579904249928, 'max_depth': 4, 'min_samples_split': 10, 'min_samples_leaf': 1, 'subsample': 0.9078667282269399, 'window_seconds': 2} 0.38990239336955973
2025-11-14 16:36:54.156527 16 {'augment_factor': 2, 'chunk_seconds': 0.02101473602592807, 'num_freqs': 2, 'num_estimators': 251, 'learning_rate': 0.0334138998615898, 'max_depth': 3, 'min_samples_split': 4, 'min_samples_leaf': 7, 'subsample': 0.8461145884107637, 'window_seconds': 5} 0.386738880318759
2025-11-14 22:33:15.189194 17 {'augment_factor': 8, 'chunk_seconds': 1.68333469664681, 'num_freqs': 15, 'num_estimators': 141, 'learning_rate': 0.1670321847310595, 'max_depth': 4, 'min_samples_split': 16, 'min_samples_leaf': 3, 'subsample': 0.9988440837148693, 'window_seconds': 4} 0.40362399614178307
2025-11-14 22:38:30.738896 18 {'augment_factor': 2, 'chunk_seconds': 1.2018552561913807, 'num_freqs': 11, 'num_estimators': 389, 'learning_rate': 0.04172854487661319, 'max_depth': 3, 'min_samples_split': 5, 'min_samples_leaf': 6, 'subsample': 0.8168650814993444, 'window_seconds': 5} 0.42876951981788164
2025-11-14 22:48:34.764978 19 {'augment_factor': 2, 'chunk_seconds': 1.2179790932743875, 'num_freqs': 11, 'num_estimators': 377, 'learning_rate': 0.07245636717400326, 'max_depth': 5, 'min_samples_split': 9, 'min_samples_leaf': 6, 'subsample': 0.7908484788465612, 'window_seconds': 4} 0.40809439940182196
2025-11-14 23:02:53.488994 20 {'augment_factor': 8, 'chunk_seconds': 1.097082722992666, 'num_freqs': 11, 'num_estimators': 404, 'learning_rate': 0.0453642655931467, 'max_depth': 4, 'min_samples_split': 14, 'min_samples_leaf': 7, 'subsample': 0.9188595681270573, 'window_seconds': 5} 0.4229819895236442
2025-11-14 23:18:57.040536 21 {'augment_factor': 8, 'chunk_seconds': 1.192522281149826, 'num_freqs': 10, 'num_estimators': 393, 'learning_rate': 0.044202115786113966, 'max_depth': 4, 'min_samples_split': 14, 'min_samples_leaf': 7, 'subsample': 0.9212800122981699, 'window_seconds': 5} 0.423660905710784
2025-11-14 23:32:53.498929 22 {'augment_factor': 8, 'chunk_seconds': 1.0817290595317604, 'num_freqs': 10, 'num_estimators': 415, 'learning_rate': 0.04438741274164886, 'max_depth': 3, 'min_samples_split': 15, 'min_samples_leaf': 8, 'subsample': 0.9298023676012473, 'window_seconds': 5} 0.4262480630925211
2025-11-14 23:45:37.249780 23 {'augment_factor': 8, 'chunk_seconds': 1.5297162428141533, 'num_freqs': 9, 'num_estimators': 418, 'learning_rate': 0.04373398521384955, 'max_depth': 3, 'min_samples_split': 15, 'min_samples_leaf': 8, 'subsample': 0.9984675675096235, 'window_seconds': 5} 0.4154196180451675
2025-11-14 23:54:59.048020 24 {'augment_factor': 8, 'chunk_seconds': 1.1590410866309089, 'num_freqs': 5, 'num_estimators': 362, 'learning_rate': 0.07003573299528484, 'max_depth': 3, 'min_samples_split': 14, 'min_samples_leaf': 8, 'subsample': 0.9419370142195991, 'window_seconds': 4} 0.40669877463187737
