2025-10-31 04:49:52.416516 20 {'augment_factor': 2, 'chunk_seconds': 2, 'num_freqs': 6, 'num_estimators': 300, 'learning_rate': 0.09412247701598818, 'max_depth': 8, 'min_samples_split': 5, 'min_samples_leaf': 3, 'subsample': 0.9333399469223422, 'window_seconds': 3} 0.3881970045364878
2025-10-31 05:00:12.448161 21 {'augment_factor': 1, 'chunk_seconds': 1, 'num_freqs': 7, 'num_estimators': 100, 'learning_rate': 0.05155548805464271, 'max_depth': 6, 'min_samples_split': 14, 'min_samples_leaf': 7, 'subsample': 0.8520177161520565, 'window_seconds': 4} 0.41928472361424407
2025-10-31 05:06:42.650073 22 {'augment_factor': 1, 'chunk_seconds': 1, 'num_freqs': 8, 'num_estimators': 100, 'learning_rate': 0.04949813275279084, 'max_depth': 6, 'min_samples_split': 14, 'min_samples_leaf': 7, 'subsample': 0.7612649381085544, 'window_seconds': 4} 0.41489096525515007
2025-10-31 05:12:54.755278 23 {'augment_factor': 1, 'chunk_seconds': 1, 'num_freqs': 9, 'num_estimators': 100, 'learning_rate': 0.04658167228374907, 'max_depth': 6, 'min_samples_split': 17, 'min_samples_leaf': 7, 'subsample': 0.7704259930737797, 'window_seconds': 4} 0.41410186390882403
2025-10-31 05:19:19.566577 24 {'augment_factor': 1, 'chunk_seconds': 1, 'num_freqs': 8, 'num_estimators': 100, 'learning_rate': 0.051925649701460394, 'max_depth': 6, 'min_samples_split': 14, 'min_samples_leaf': 7, 'subsample': 0.8417793732629865, 'window_seconds': 5} 0.4133096014708589
2025-10-31 05:26:01.321500 25 {'augment_factor': 1, 'chunk_seconds': 1, 'num_freqs': 10, 'num_estimators': 100, 'learning_rate': 0.131298320134429, 'max_depth': 4, 'min_samples_split': 15, 'min_samples_leaf': 6, 'subsample': 0.9168669508764462, 'window_seconds': 4} 0.41258420940943386
2025-10-31 05:31:40.584223 26 {'augment_factor': 1, 'chunk_seconds': 1, 'num_freqs': 9, 'num_estimators': 100, 'learning_rate': 0.059698895769127513, 'max_depth': 5, 'min_samples_split': 12, 'min_samples_leaf': 7, 'subsample': 0.8311452251637615, 'window_seconds': 3} 0.41923958047395943
2025-10-31 05:37:34.990303 27 {'augment_factor': 1, 'chunk_seconds': 2, 'num_freqs': 9, 'num_estimators': 100, 'learning_rate': 0.06389873094670583, 'max_depth': 4, 'min_samples_split': 12, 'min_samples_leaf': 8, 'subsample': 0.9010488573595781, 'window_seconds': 3} 0.396830523155193
2025-10-31 05:40:24.873653 28 {'augment_factor': 1, 'chunk_seconds': 1, 'num_freqs': 10, 'num_estimators': 100, 'learning_rate': 0.17912799721912875, 'max_depth': 5, 'min_samples_split': 12, 'min_samples_leaf': 6, 'subsample': 0.9488762089285947, 'window_seconds': 3} 0.39159740376812846
2025-10-31 05:47:01.150918 29 {'augment_factor': 1, 'chunk_seconds': 1, 'num_freqs': 7, 'num_estimators': 200, 'learning_rate': 0.02944427470373909, 'max_depth': 5, 'min_samples_split': 18, 'min_samples_leaf': 8, 'subsample': 0.8396264107043415, 'window_seconds': 3} 0.4091099653882935
